date,open,high,low,close,volume,dividends,splits,symbol,Sector,Industry,return,ma5,ma20,ma50,volatility,volume_ma20,day_of_week,month,year,next_day_close,price_up
2020-04-15 00:00:00-04:00,103.1161389006862,103.60015737062508,101.44675938627434,102.10858917236328,14157600,0.0,0.0,DIS,Communication Services,Entertainment,-0.025087241569659136,102.42863311767579,96.68261604309082,112.65490066528321,0.054634366807638036,24761880.0,2,4,2020,100.77505493164062,0
2020-04-16 00:00:00-04:00,102.26663063476394,102.45431449184983,99.6588469426891,100.77505493164062,18029300,0.0,0.0,DIS,Communication Services,Entertainment,-0.013059961473677828,102.61631317138672,97.33554954528809,111.81112411499024,0.05320020551230371,23483720.0,3,4,2020,105.32880401611328,1
2020-04-17 00:00:00-04:00,104.91393103511872,105.48685517246965,103.07662779209261,105.32880401611328,17926900,0.0,0.0,DIS,Communication Services,Entertainment,0.04518726472103274,103.03711547851563,97.91341094970703,111.12480285644531,0.05202141518174591,22836725.0,4,4,2020,101.01213836669922,0
2020-04-20 00:00:00-04:00,102.31603029934318,103.58040944175015,100.75530899830588,101.01213836669922,17021000,0.0,0.0,DIS,Communication Services,Entertainment,-0.04098276525340305,102.79214324951172,98.71747817993165,110.32587265014648,0.04774428481093451,22089885.0,0,4,2020,99.31311798095703,0
2020-04-21 00:00:00-04:00,98.78958674146263,100.27128234137216,97.92032049962118,99.31311798095703,16101400,0.0,0.0,DIS,Communication Services,Entertainment,-0.016819962563056734,101.7075408935547,99.44746017456055,109.52615203857422,0.04804351356038858,21282625.0,1,4,2020,99.75762939453125,1
2020-04-22 00:00:00-04:00,100.55775018926563,101.37761607420717,99.65885118943764,99.75762939453125,11463800,0.0,0.0,DIS,Communication Services,Entertainment,0.004475857999538979,101.23734893798829,99.589208984375,108.70430511474609,0.03602321468093547,20228910.0,2,4,2020,99.76750946044922,1
2020-04-23 00:00:00-04:00,99.42178197452823,101.27883785339948,98.24630098610292,99.76750946044922,17132200,0.0,0.0,DIS,Communication Services,Entertainment,9.904070473543136e-05,101.03583984375,99.60254440307617,107.91387008666992,0.03555762560126474,19658870.0,3,4,2020,99.95518493652344,1
2020-04-24 00:00:00-04:00,100.53798157297848,100.67627255574047,98.30555815135972,99.95518493652344,13614100,0.0,0.0,DIS,Communication Services,Entertainment,0.0018811282058577294,99.96111602783203,99.39658851623535,107.11059341430663,0.033936031163942185,19113560.0,4,4,2020,104.76575469970703,1
2020-04-27 00:00:00-04:00,100.7553010122076,105.22014044697548,100.3700607582997,104.76575469970703,15518300,0.0,0.0,DIS,Communication Services,Entertainment,0.048127265896596993,100.71183929443359,99.87369422912597,106.42229644775391,0.02944113977257186,18359900.0,0,4,2020,104.91393280029297,1
2020-04-28 00:00:00-04:00,107.46245121721363,108.71695026264997,104.68674367957567,104.91393280029297,16503700,0.0,0.0,DIS,Communication Services,Entertainment,0.0014143753463204956,101.83200225830078,100.190283203125,105.76383102416992,0.028581625613028492,18029125.0,1,4,2020,110.8802261352539,1
